d,absmom,trend,bench_6040,stocks
1937-12-31,270.2125,173.7568,121.0479,85.0299
1938-01-31,271.7625,173.7568,121.6291,85.4441
1938-02-28,272.607,173.7568,126.0652,90.4654
1938-03-31,273.452,173.7568,107.743,68.8157
1938-04-30,274.2974,173.7568,116.3838,78.7645
1938-05-31,277.2943,173.7568,114.3278,75.7253
1938-06-30,277.4033,173.7568,129.798,93.8323
1938-07-31,277.9998,181.4486,135.7709,100.7068
1938-08-31,278.8395,176.5825,133.6169,98.006
1938-09-30,277.9846,178.0187,134.1438,98.8031
1938-10-31,280.5316,191.9228,141.1853,106.5201
1938-11-30,275.6735,188.5511,139.6516,104.6488
1938-12-31,287.1871,196.426,143.4885,109.0195
1939-01-31,270.0218,184.6855,138.4876,102.5033
1939-02-28,279.5161,191.1793,141.6123,106.1075
1939-03-31,245.8731,168.1686,132.0268,93.3362
1939-04-30,245.4387,170.7848,132.2695,93.1713
1939-05-31,262.1717,170.7848,137.9826,99.5233
1939-06-30,248.1303,170.7848,134.1372,94.1931
1939-07-31,273.5102,170.7848,141.8215,103.8276
1939-08-31,255.2016,158.8748,136.2197,96.8774
1939-09-30,247.6629,159.1909,147.2329,113.2529
1939-10-31,247.983,159.3438,147.2218,112.6345
1939-11-30,238.9218,153.5215,144.801,108.5189
1939-12-31,246.005,158.0729,148.0386,111.7361
1940-01-31,240.0893,154.2717,146.2911,109.0492
1940-02-29,243.584,156.5173,147.5569,110.6365
1940-03-31,248.6615,159.7798,149.8166,112.9427
1940-04-30,249.2374,160.1499,150.1374,113.2042
1940-05-31,194.4265,124.9306,129.8526,88.309
1940-06-30,193.6042,124.2694,134.5826,94.1997
1940-07-31,195.6994,124.2694,137.5884,97.1763
1940-08-31,195.9019,124.2694,139.3637,99.3396
1940-09-30,199.5779,124.2694,141.704,101.7412
1940-10-31,202.598,124.2694,144.4821,104.8318
1940-11-30,205.1385,121.8524,143.9165,103.1432
1940-12-31,206.9646,122.6992,145.0382,103.8601
1941-01-31,205.2848,117.564,140.9249,99.5133
1941-02-28,203.8292,116.6251,139.3098,98.0736
1941-03-31,206.0206,116.6251,140.6251,98.9105
1941-04-30,207.3038,116.6251,136.4683,93.5277
1941-05-31,208.2172,116.6251,137.7708,94.7757
1941-06-30,219.144,116.6251,142.6623,100.3016
1941-07-31,231.9661,123.4364,147.8411,106.1703
1941-08-31,231.6097,123.2468,147.6434,106.0072
1941-09-30,229.5913,122.1727,146.9142,105.0833
1941-10-31,217.4974,115.7372,142.5799,99.548
1941-11-30,211.4015,115.8173,139.1795,97.6101
1941-12-31,209.4096,115.8173,134.6317,92.8327
1942-01-31,209.6575,115.8173,135.2907,93.5768
1942-02-28,210.0908,115.8173,133.4122,91.2707
1942-03-31,210.8928,115.8173,128.4185,85.2455
1942-04-30,211.6946,115.8173,125.4153,81.5258
1942-05-31,211.9397,115.8173,129.6716,86.3817
1942-06-30,212.744,115.8173,131.8899,88.7088
1942-07-31,212.6162,115.8173,134.5393,91.8159
1942-08-31,212.866,117.5207,136.0282,93.4651
1942-09-30,213.4905,120.6211,138.3194,95.9308
1942-10-31,214.1151,128.8308,144.1192,102.4601
1942-11-30,212.5389,129.0216,144.2665,102.6118
1942-12-31,223.4739,135.6597,148.842,107.8912
1943-01-31,239.3772,145.3137,155.4814,115.5691
1943-02-28,254.1122,154.2586,161.476,122.683
1943-03-31,269.5024,163.6012,167.6266,130.1133
1943-04-30,271.6775,164.9216,168.6178,131.1634
1943-05-31,287.3003,174.4054,175.0734,138.7059
1943-06-30,292.6008,177.6231,177.3628,141.265
1943-07-31,278.5754,169.109,171.8981,134.4936
1943-08-31,282.2333,171.3295,173.4268,136.2596
1943-09-30,289.0213,175.4502,176.1499,139.5368
1943-10-31,285.6316,173.3925,174.9253,137.9003
1943-11-30,268.7157,163.1236,168.3111,129.7334
1943-12-31,285.7851,164.2781,175.1858,137.9744
1944-01-31,290.7314,166.9206,177.1188,140.3624
1944-02-29,291.7611,167.5118,177.6432,140.8596
1944-03-31,298.9742,171.6531,180.5044,144.342
1944-04-30,293.9672,168.7784,178.8079,141.9247
1944-05-31,308.9306,177.3695,184.3975,149.1489
1944-06-30,325.9144,187.1206,190.793,157.3485
1944-07-31,321.0647,184.3362,189.1558,155.0071
1944-08-31,326.0752,187.2129,191.2087,157.4261
1944-09-30,326.1166,187.2366,191.4335,157.4461
1944-10-31,326.6592,187.5482,191.7177,157.708
1944-11-30,332.2716,190.7705,193.9305,160.4177
1944-12-31,345.7493,198.5086,199.0373,166.9246
1945-01-31,352.7143,202.5075,201.887,170.2872
1945-02-28,374.6544,215.1042,210.0429,180.8797
1945-03-31,359.9242,206.647,204.9789,173.7681
1945-04-30,387.9356,222.7294,214.8763,187.2917
1945-05-31,394.5728,226.5401,217.3278,190.4961
1945-06-30,396.0195,227.3708,218.2744,191.1946
1945-07-31,387.3961,222.4197,215.5308,187.0313
1945-08-31,411.4592,236.2353,223.849,198.6487
1945-09-30,431.0872,247.5045,230.7104,208.1249
1945-10-31,447.8236,257.1135,236.7912,216.2051
1945-11-30,471.9623,270.9726,245.426,227.8591
1945-12-31,477.6346,274.2293,247.5435,230.5976
1946-01-31,507.4996,291.376,257.9592,245.0161
1946-02-28,477.9374,274.4031,249.7347,230.7438
1946-03-31,506.1163,290.5817,258.9602,244.3483
1946-04-30,527.6152,302.9251,265.9238,254.7277
1946-05-31,548.4339,314.878,271.5938,264.7788
1946-06-30,526.988,302.565,265.3659,254.425
1946-07-31,512.922,294.4892,260.9869,247.634
1946-08-31,479.7727,275.4568,250.3969,231.6299
1946-09-30,430.9948,255.8623,234.9446,208.0803
1946-10-31,430.096,255.8623,233.3922,205.1019
1946-11-30,431.2864,255.8623,233.6404,205.0529
1946-12-31,432.4767,255.8623,240.4782,215.2175
1947-01-31,434.4337,255.8623,242.7776,217.9626
1947-02-28,435.2338,255.8623,241.3637,215.595
1947-03-31,436.8075,255.8623,239.2821,211.9787
1947-04-30,437.6046,255.8623,232.6183,201.8008
1947-05-31,438.4033,255.8623,231.5109,199.8897
1947-06-30,438.0385,255.8623,238.5243,210.4453
1947-07-31,437.6866,261.953,244.2954,219.1481
1947-08-31,438.8946,257.441,242.0262,215.3734
1947-09-30,439.7139,256.0697,241.4367,214.2261
1947-10-31,447.2875,262.3943,244.9164,219.5172
1947-11-30,438.3626,257.1586,241.3859,215.1371
1947-12-31,451.6191,264.9353,245.6938,221.643
1948-01-31,433.9214,254.5533,239.6085,212.9575
1948-02-29,433.7236,243.4469,233.6395,203.6659
1948-03-31,434.9891,244.0769,244.8613,220.134
1948-04-30,448.7602,251.7844,250.3729,228.1325
1948-05-31,481.6373,270.2306,261.845,244.846
1948-06-30,481.1297,269.9458,261.961,244.5879
1948-07-31,456.6387,256.2047,253.894,232.1376
1948-08-31,457.802,256.8574,254.1376,232.729
1948-09-30,444.1461,249.1955,249.7315,225.7869
1948-10-31,470.6572,251.0834,258.884,239.2641
1948-11-30,426.7291,225.3449,244.348,216.9327
1948-12-31,440.6647,228.3335,249.2559,224.0171
1949-01-31,441.7108,228.3335,250.0066,224.5489
1949-02-28,428.9097,228.3335,246.0991,218.0413
1949-03-31,446.3053,228.3335,252.3226,226.8845
1949-04-30,438.0396,228.3335,249.6997,222.6826
1949-05-31,438.4756,228.3335,245.4552,216.0646
1949-06-30,439.3452,228.3335,245.8195,216.3108
1949-07-31,444.4864,228.3335,255.0531,228.3103
1949-08-31,446.5071,232.4663,259.4792,234.2136
1949-09-30,456.1278,239.6475,264.7088,241.4488
1949-10-31,470.4548,247.1749,269.9904,249.0327
1949-11-30,479.0634,251.6978,273.4223,253.5896
1949-12-31,503.6152,264.5972,282.4287,266.586
1950-01-31,512.0963,269.0531,285.3177,271.0754
1950-02-28,519.7077,273.0521,287.6921,275.1044
1950-03-31,526.2024,276.4644,289.7939,278.5424
1950-04-30,546.9166,287.3476,296.6937,289.5074
1950-05-31,570.549,299.7639,304.7786,302.0171
1950-06-30,536.6882,281.9736,293.3793,284.093
1950-07-31,543.9564,285.7923,295.9494,287.9404
1950-08-31,570.3426,299.6555,305.1652,301.9078
1950-09-30,599.0662,314.7467,314.7718,317.1124
1950-10-31,597.9265,314.1479,314.4112,316.5092
1950-11-30,614.3886,322.797,320.1857,325.2233
1950-12-31,648.5098,340.7242,331.816,343.2852
1951-01-31,685.4701,360.1429,343.6409,362.8499
1951-02-28,695.1819,365.2455,346.7559,367.9908
1951-03-31,680.209,357.3788,341.6295,360.065
1951-04-30,715.0868,375.7035,351.505,378.5274
1951-05-31,698.3454,366.9076,345.8683,369.6654
1951-06-30,681.4688,358.0407,340.7758,360.7318
1951-07-31,730.2776,383.6846,356.2025,386.5685
1951-08-31,763.4105,401.0925,367.307,404.1072
1951-09-30,770.0401,404.5756,369.7356,407.6165
1951-10-31,752.4478,395.3327,364.0664,398.3042
1951-11-30,756.8442,397.6426,365.1189,400.6314
1951-12-31,782.039,410.8798,372.6453,413.9681
1952-01-31,795.227,417.8087,376.2235,420.9491
1952-02-29,775.9908,407.7021,371.4546,410.7666
1952-03-31,810.408,425.7848,381.7552,428.9851
1952-04-30,770.2388,404.6801,371.399,407.7218
1952-05-31,796.941,418.7093,380.2828,421.8564
1952-06-30,829.1326,435.6226,389.2764,438.8969
1952-07-31,838.5483,440.5695,392.2978,443.881
1952-08-31,833.8592,438.1059,390.1015,441.3989
1952-09-30,818.6751,430.1283,385.9739,433.3613
1952-10-31,815.1023,428.2511,384.9027,431.47
1952-11-30,865.2192,454.5823,399.9624,457.9991
1952-12-31,892.48,468.905,407.5684,472.4295
1953-01-31,891.3679,468.3207,406.9188,471.8408
1953-02-28,890.7944,468.0194,406.7219,471.5372
1953-03-31,879.8955,462.2932,403.2838,465.7679
1953-04-30,856.9933,450.2605,398.2384,453.6448
1953-05-31,863.1853,451.9244,397.2617,456.9225
1953-06-30,848.7882,449.6141,392.909,449.3014
1953-07-31,864.7577,451.321,401.9123,461.1251
1953-08-31,821.9501,429.0074,391.6448,441.0509
1953-09-30,830.8115,430.6786,394.0968,442.8458
1953-10-31,847.9186,431.5839,408.5096,464.1359
1953-11-30,866.1618,440.8577,415.3994,477.2933
1953-12-31,868.1786,441.8842,417.6689,478.4047
1954-01-31,882.2624,465.5035,432.9803,503.9761
1954-02-28,897.0267,473.3152,437.8974,512.4334
1954-03-31,930.12,490.7769,449.6196,531.3382
1954-04-30,969.8566,511.7439,463.0323,554.0381
1954-05-31,1000.0717,527.6869,471.1591,571.2987
1954-06-30,1011.0578,533.4837,474.6268,577.5746
1954-07-31,1061.3937,560.0433,491.2109,606.3293
1954-08-31,1036.4207,546.8664,483.1723,592.0633
1954-09-30,1102.6832,581.8297,502.9822,629.9163
1954-10-31,1084.3162,572.1384,497.084,619.424
1954-11-30,1186.5398,626.0766,527.1815,677.82
1954-12-31,1251.5584,660.3836,546.4882,714.9624
1955-01-31,1259.1086,664.3674,547.4133,719.2755
1955-02-28,1297.0275,684.3753,557.0281,740.937
1955-03-31,1295.2577,683.4414,556.4811,739.9259
1955-04-30,1338.1689,706.0835,566.8507,764.4393
1955-05-31,1353.758,714.3091,571.2307,773.3447
1955-06-30,1442.2063,760.9787,594.4433,823.8715
1955-07-31,1469.5957,775.4308,599.8571,839.5179
1955-08-31,1476.1278,778.8774,600.7927,843.2494
1955-09-30,1473.5611,777.5231,600.6561,841.7832
1955-10-31,1437.4508,758.4695,593.4319,821.1549
1955-11-30,1541.7179,813.4859,620.9847,880.7182
1955-12-31,1568.2206,827.47,627.1223,895.8581
1956-01-31,1523.9862,804.1298,618.0898,870.5889
1956-02-29,1584.844,836.2414,634.6294,905.3544
1956-03-31,1693.4557,893.5503,658.7498,967.3997
1956-04-30,1701.679,897.8893,656.6729,972.0973
1956-05-31,1617.1023,853.2625,639.3023,923.7822
1956-06-30,1676.4695,884.5875,655.7133,957.6961
1956-07-31,1760.347,928.8454,674.1599,1005.6118
1956-08-31,1708.3596,901.4143,657.6801,975.9136
1956-09-30,1623.1841,856.4715,636.85,927.2564
1956-10-31,1635.3461,843.3676,641.2956,934.2041
1956-11-30,1644.2486,845.0559,641.0305,939.2897
1956-12-31,1699.4161,846.6629,652.977,970.8046
1957-01-31,1642.5587,822.3749,643.2638,938.3244
1957-02-28,1611.9818,818.756,639.6045,920.8571
1957-03-31,1617.8498,820.4771,647.4363,942.2285
1957-04-30,1613.0181,822.2018,663.66,984.2766
1957-05-31,1601.673,845.8053,676.4754,1020.5506
1957-06-30,1590.745,841.1067,670.6518,1014.8813
1957-07-31,1604.7253,848.4988,672.3321,1023.8006
1957-08-31,1602.024,806.8794,652.8519,973.5825
1957-09-30,1608.5765,760.1003,631.0657,917.1387
1957-10-31,1607.2909,765.5696,615.7942,879.9197
1957-11-30,1645.6786,767.0255,631.029,902.2386
1957-12-31,1721.5825,768.6378,629.7116,868.6865
1958-01-31,1743.7178,770.3306,651.0257,911.0495
1958-02-28,1754.1379,771.8727,647.2976,898.904
1958-03-31,1769.0717,771.8727,662.1386,928.0984
1958-04-30,1788.6313,771.8727,677.4045,956.7034
1958-05-31,1786.8024,788.4132,687.6698,981.0248
1958-06-30,1783.5248,811.5269,699.6447,1009.7851
1958-07-31,1753.3171,847.0984,714.3735,1054.047
1958-08-31,1766.9045,863.284,716.5063,1074.1866
1958-09-30,1852.9894,905.3438,735.3748,1126.5218
1958-10-31,1904.3603,930.4429,748.8656,1157.7526
1958-11-30,1965.1934,960.165,766.8881,1194.736
1958-12-31,2070.8543,1011.7894,793.0413,1258.9724
1959-01-31,2089.4078,1020.8544,794.3432,1270.252
1959-02-28,2113.6087,1032.6786,802.488,1284.9649
1959-03-31,2124.1238,1037.8161,805.1742,1291.3575
1959-04-30,2206.1389,1077.8875,821.7086,1341.2184
1959-05-31,2249.111,1098.883,827.8519,1367.3432
1959-06-30,2247.8774,1098.2803,827.9416,1366.5933
1959-07-31,2323.7051,1135.3286,844.973,1412.6926
1959-08-31,2295.9585,1121.7721,839.0073,1395.8241
1959-09-30,2190.4515,1070.2229,809.8188,1331.6813
1959-10-31,2223.1239,1086.1861,822.1624,1351.5444
1959-11-30,2263.0009,1105.6695,832.4886,1375.7876
1959-12-31,2329.0198,1137.9253,844.8762,1415.9237
1960-01-31,2175.867,1063.0971,811.9967,1322.8147
1960-02-29,2205.808,1067.9816,826.019,1341.0173
1960-03-31,2180.011,1072.9051,828.3597,1325.334
1960-04-30,2181.702,1075.053,821.6085,1305.3517
1960-05-31,2177.2879,1077.3129,836.3693,1348.5836
1960-06-30,2220.2874,1079.6854,854.4737,1379.6492
1960-07-31,2273.2549,1051.3521,852.427,1349.9079
1960-08-31,2299.2801,1050.7182,872.3145,1393.6531
1960-09-30,2306.5611,985.3046,844.5448,1312.7845
1960-10-31,2296.9195,982.4453,840.6685,1306.3305
1960-11-30,2296.8798,984.4121,863.6932,1370.6609
1960-12-31,2321.3172,1034.5638,891.8861,1438.325
1961-01-31,2328.7455,1100.8005,927.5499,1530.412
1961-02-28,2404.1468,1142.3356,952.0056,1588.1571
1961-03-31,2479.1382,1177.9679,972.8155,1637.6957
1961-04-30,2491.2773,1183.7359,975.75,1645.7147
1961-05-31,2556.3894,1214.674,995.0314,1688.7272
1961-06-30,2483.1659,1179.8817,973.0359,1640.3564
1961-07-31,2558.7943,1215.8167,991.6818,1690.3158
1961-08-31,2631.4825,1250.3546,1007.284,1738.333
1961-09-30,2580.4218,1226.0931,997.641,1704.6028
1961-10-31,2652.0339,1260.1197,1018.2698,1751.9091
